Hour,Global_active_power_mean,Global_active_power_std,Global_active_power_min,Global_active_power_max,Voltage_mean,Voltage_std,Global_intensity_mean,Global_intensity_max,Sub_metering_1_mean,Sub_metering_1_max,Sub_metering_2_mean,Sub_metering_2_max,Sub_metering_3_mean,Sub_metering_3_max,Sub_metering_4_mean,Sub_metering_4_max,Total_Sub_metering_mean
10,1.0930289247663645,0.6410024736794628,0.078,4.702,239.56422703744173,2.81511041134644,4.6043562418058395,20.0,0.0,0.0,0.3685773564025928,4.0,11.20384253902866,31.0,6.6448568131872126,60.900000000000006,18.217276708618467
11,1.0096758090143023,0.6559450583948783,0.078,4.91,239.72670764133852,2.7735349288580027,4.273053137759244,20.8,0.0,0.0,0.37614760482479964,4.0,9.790657371373875,31.0,6.661192768509914,64.26666666666667,16.827997744708593
12,0.9500159739850736,0.6866253586774449,0.078,4.78,240.43524978935102,2.8558480098454937,4.030472771367505,20.6,0.0,0.0,0.39956431498410966,4.0,8.589422743531765,31.0,6.844690788958002,78.46666666666667,15.833677847473878
13,0.8764348051823647,0.6578247742531688,0.078,4.69,240.94063708823674,2.8060163568740113,3.7157437579981036,19.8,0.0,0.0,0.3791582052605495,4.0,7.608739304770461,31.0,6.619414831738545,60.83333333333333,14.607312341769555
14,0.7863071688712029,0.6312179169606632,0.078,4.804,241.70207993193497,3.3040673942806005,3.331997118335322,20.2,0.0,0.0,0.3745622554194945,4.0,6.431016314008748,31.0,6.299717283903697,62.56666666666666,13.10529585333194
15,0.7352862861713542,0.6094041307792143,0.078,4.81,242.2369794415091,3.160043229423332,3.1222439773289468,20.2,0.0,0.0,0.4097762521240296,4.0,5.423939751367663,31.0,6.421163976802943,60.5,12.254879980294636
16,0.7567748079839673,0.6388697233383367,0.078,4.908,241.9578109728874,2.9316481217922,3.212680641449303,20.4,0.0,0.0,0.39883269785045095,4.0,5.101448542856718,31.0,7.112814360489806,76.16666666666667,12.613095601196974
17,0.8671546491810864,0.745973142624081,0.078,4.98,240.49672326245013,2.693632216608836,3.6922983134103933,21.2,0.0,0.0,0.4020281094076353,4.0,4.988430140318625,31.0,9.062201016583757,79.1,14.452659266310018
18,1.0883138772401049,0.896079948426357,0.078,5.048,239.56523005906752,2.8354398182244145,4.623712997242553,21.4,0.0,0.0,0.3811889834641728,4.0,5.338004155511483,31.0,12.419574603351945,81.6,18.1387677423276
19,1.3656616601961025,0.9879085250954133,0.078,5.116,239.07179637784085,2.9184036982424226,5.808070390401399,21.4,0.0,0.0,0.38810258562928956,4.0,6.187619134860744,31.0,16.18543481792165,83.26666666666667,22.761156538411683
20,1.4685074356457892,0.9900755772574269,0.076,5.128,239.54278217658887,2.7730914911167424,6.207649358817937,21.4,0.0,0.0,0.4197387898593703,4.0,7.4226441086986235,31.0,16.63280488385921,80.2,24.475187782417205
21,1.457229587549633,0.9707494864309238,0.078,4.978,239.58527360575633,2.547838142229946,6.13489080532783,21.4,0.0,0.0,0.38831245165776185,4.0,6.582730087409088,31.0,17.316333822067897,79.0,24.287376361134747
22,1.13160373383451,0.8115678479094758,0.078,5.116,241.40115903482592,2.8385395507025666,4.73990832326193,21.4,0.0,0.0,0.37194350516477254,4.0,5.074282681339323,31.0,13.413964686889338,77.4,18.860190873393435
23,0.774154928094156,0.6905684579390984,0.078,5.182,243.1411726780603,2.7087212938989853,3.255723265223651,21.4,0.0,0.0,0.35523905305880715,4.0,3.7357774803357833,31.0,8.811665154863226,81.33333333333333,12.902681688257816
